"","Tea","How","how","sugar","where","lunch"
"139","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"140","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"141","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"142","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"143","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"144","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"145","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"146","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"147","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"148","black","other","tea bag","sugar","chain store+tea shop","Not.lunch"
"149","Earl Grey","lemon","tea bag","sugar","tea shop","Not.lunch"
"150","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"151","black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"152","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"153","black","alone","unpackaged","No.sugar","chain store","Not.lunch"
"154","green","alone","tea bag","No.sugar","chain store","Not.lunch"
"155","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"156","black","milk","tea bag","No.sugar","chain store","Not.lunch"
"157","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"158","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"159","black","milk","unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"160","black","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"161","black","alone","unpackaged","sugar","chain store","Not.lunch"
"162","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"163","green","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"164","black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"165","green","alone","unpackaged","No.sugar","chain store","Not.lunch"
"166","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"167","green","alone","tea bag","No.sugar","chain store","Not.lunch"
"168","black","lemon","unpackaged","No.sugar","tea shop","Not.lunch"
"169","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"170","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"171","Earl Grey","alone","unpackaged","sugar","chain store+tea shop","Not.lunch"
"172","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"173","black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"174","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"175","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"176","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"177","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"178","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"179","Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"180","green","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"181","black","milk","tea bag","sugar","chain store","Not.lunch"
"182","black","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"183","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"184","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"185","Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"186","green","alone","tea bag","No.sugar","chain store","Not.lunch"
"187","green","alone","tea bag","sugar","chain store","Not.lunch"
"188","green","alone","tea bag","sugar","chain store","Not.lunch"
"189","green","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"190","green","lemon","unpackaged","sugar","tea shop","Not.lunch"
"191","Earl Grey","alone","tea bag+unpackaged","sugar","tea shop","Not.lunch"
"192","Earl Grey","alone","tea bag+unpackaged","sugar","chain store","lunch"
"193","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"194","Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"195","green","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"196","black","alone","unpackaged","No.sugar","chain store","Not.lunch"
"197","Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"198","Earl Grey","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"199","green","alone","tea bag","No.sugar","tea shop","Not.lunch"
"200","green","alone","tea bag","sugar","chain store","Not.lunch"
"201","Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"202","black","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"203","Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"204","Earl Grey","other","tea bag","sugar","chain store","Not.lunch"
"205","green","alone","tea bag","No.sugar","chain store","Not.lunch"
"206","black","milk","unpackaged","No.sugar","chain store","Not.lunch"
"207","black","lemon","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"208","black","lemon","unpackaged","sugar","tea shop","Not.lunch"
"209","green","alone","unpackaged","sugar","chain store","Not.lunch"
"210","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"211","black","alone","unpackaged","sugar","tea shop","Not.lunch"
"212","green","milk","tea bag","No.sugar","tea shop","Not.lunch"
"213","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"214","Earl Grey","alone","tea bag","sugar","chain store+tea shop","Not.lunch"
"215","Earl Grey","lemon","tea bag","No.sugar","chain store","lunch"
"216","black","milk","tea bag","sugar","chain store","Not.lunch"
"217","black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"218","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"219","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"220","Earl Grey","lemon","unpackaged","No.sugar","tea shop","Not.lunch"
"221","Earl Grey","lemon","tea bag+unpackaged","No.sugar","chain store","lunch"
"222","green","alone","tea bag+unpackaged","No.sugar","tea shop","Not.lunch"
"223","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"224","Earl Grey","lemon","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"225","black","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"226","green","alone","tea bag","No.sugar","chain store","Not.lunch"
"227","green","alone","tea bag+unpackaged","No.sugar","tea shop","Not.lunch"
"228","black","alone","tea bag","sugar","chain store","Not.lunch"
"229","green","alone","unpackaged","No.sugar","tea shop","lunch"
"230","Earl Grey","milk","tea bag","No.sugar","chain store","Not.lunch"
"231","black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"232","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"233","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"234","Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"235","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"236","Earl Grey","alone","tea bag","No.sugar","chain store","lunch"
"237","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"238","Earl Grey","alone","unpackaged","sugar","chain store+tea shop","Not.lunch"
"239","Earl Grey","lemon","tea bag","No.sugar","chain store+tea shop","lunch"
"240","Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"241","Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"242","Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"243","green","milk","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"244","Earl Grey","lemon","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"245","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"246","Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"247","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"248","Earl Grey","milk","unpackaged","sugar","tea shop","Not.lunch"
"249","Earl Grey","alone","tea bag+unpackaged","sugar","tea shop","Not.lunch"
"250","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"251","Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"252","Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"253","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"254","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"255","Earl Grey","alone","unpackaged","No.sugar","chain store","lunch"
"256","black","milk","tea bag","No.sugar","chain store","Not.lunch"
"257","black","alone","tea bag","sugar","chain store","Not.lunch"
"258","green","milk","tea bag","sugar","chain store","lunch"
"259","Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"260","Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"261","black","alone","unpackaged","sugar","tea shop","lunch"
"262","green","alone","tea bag","sugar","chain store","Not.lunch"
"263","black","milk","tea bag","No.sugar","chain store","Not.lunch"
"264","Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"265","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"266","Earl Grey","alone","tea bag+unpackaged","sugar","chain store","lunch"
"267","black","milk","tea bag+unpackaged","No.sugar","chain store","lunch"
"268","Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"269","black","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"270","Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","lunch"
"271","black","alone","unpackaged","sugar","chain store+tea shop","Not.lunch"
"272","black","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"273","Earl Grey","other","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"274","Earl Grey","other","tea bag","sugar","chain store","Not.lunch"
"275","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"276","Earl Grey","alone","tea bag","sugar","chain store","lunch"
"277","black","alone","unpackaged","sugar","chain store+tea shop","Not.lunch"
"278","black","alone","unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"279","black","alone","tea bag+unpackaged","No.sugar","chain store","lunch"
"280","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"281","Earl Grey","alone","tea bag","No.sugar","chain store","lunch"
"282","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"283","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"284","black","lemon","tea bag","sugar","chain store","Not.lunch"
"285","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"286","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"287","Earl Grey","milk","unpackaged","sugar","tea shop","Not.lunch"
"288","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"289","Earl Grey","milk","tea bag","sugar","chain store+tea shop","lunch"
"290","Earl Grey","milk","tea bag","No.sugar","chain store","Not.lunch"
"291","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"292","Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"293","Earl Grey","milk","tea bag","sugar","chain store","lunch"
"294","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"295","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","lunch"
"296","green","milk","tea bag","No.sugar","chain store","Not.lunch"
"297","green","milk","tea bag+unpackaged","No.sugar","tea shop","Not.lunch"
"298","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"299","black","lemon","tea bag","sugar","tea shop","Not.lunch"
"300","black","milk","tea bag","sugar","chain store","Not.lunch"
