"","X","Tea","How","how","sugar","where","lunch"
"27",27,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"28",28,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","lunch"
"29",29,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"30",30,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"31",31,"Earl Grey","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"32",32,"Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"33",33,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"34",34,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"35",35,"black","lemon","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"36",36,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"37",37,"green","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"38",38,"green","alone","tea bag","No.sugar","chain store","Not.lunch"
"39",39,"Earl Grey","milk","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"40",40,"green","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"41",41,"Earl Grey","alone","tea bag","sugar","chain store","lunch"
"42",42,"green","alone","tea bag","No.sugar","chain store","Not.lunch"
"43",43,"Earl Grey","milk","tea bag","No.sugar","chain store","Not.lunch"
"44",44,"black","other","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"45",45,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"46",46,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"47",47,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"48",48,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"49",49,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"50",50,"black","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"51",51,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"52",52,"black","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"53",53,"Earl Grey","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"54",54,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"55",55,"green","milk","tea bag","sugar","chain store","Not.lunch"
"56",56,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"57",57,"green","alone","tea bag","No.sugar","chain store","Not.lunch"
"58",58,"Earl Grey","milk","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"59",59,"green","lemon","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"60",60,"black","alone","tea bag+unpackaged","No.sugar","chain store","lunch"
"61",61,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","lunch"
"62",62,"Earl Grey","alone","unpackaged","No.sugar","tea shop","lunch"
"63",63,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"64",64,"black","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"65",65,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"66",66,"black","other","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"67",67,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"68",68,"Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"69",69,"Earl Grey","lemon","tea bag","No.sugar","chain store","lunch"
"70",70,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"71",71,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"72",72,"Earl Grey","milk","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"73",73,"Earl Grey","milk","tea bag","sugar","chain store","lunch"
"74",74,"Earl Grey","lemon","unpackaged","sugar","tea shop","Not.lunch"
"75",75,"black","milk","tea bag","sugar","chain store","lunch"
"76",76,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"77",77,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"78",78,"Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store","lunch"
"79",79,"Earl Grey","alone","tea bag","sugar","tea shop","lunch"
"80",80,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"81",81,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"82",82,"Earl Grey","alone","unpackaged","sugar","chain store","Not.lunch"
"83",83,"Earl Grey","milk","tea bag","sugar","chain store+tea shop","Not.lunch"
"84",84,"Earl Grey","alone","tea bag","No.sugar","chain store","lunch"
"85",85,"Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"86",86,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"87",87,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"88",88,"Earl Grey","milk","tea bag","sugar","chain store","lunch"
"89",89,"Earl Grey","milk","tea bag","No.sugar","chain store+tea shop","lunch"
"90",90,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"91",91,"black","milk","tea bag+unpackaged","sugar","chain store","Not.lunch"
"92",92,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store","lunch"
"93",93,"black","milk","tea bag","No.sugar","chain store","Not.lunch"
"94",94,"Earl Grey","alone","unpackaged","No.sugar","chain store","Not.lunch"
"95",95,"Earl Grey","alone","unpackaged","sugar","tea shop","Not.lunch"
"96",96,"black","milk","tea bag+unpackaged","sugar","chain store","Not.lunch"
"97",97,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"98",98,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"99",99,"black","milk","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"100",100,"Earl Grey","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"101",101,"Earl Grey","alone","tea bag","sugar","chain store","lunch"
"102",102,"green","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"103",103,"Earl Grey","milk","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"104",104,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"105",105,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"106",106,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"107",107,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"108",108,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"109",109,"Earl Grey","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"110",110,"Earl Grey","alone","tea bag+unpackaged","No.sugar","tea shop","Not.lunch"
"111",111,"Earl Grey","lemon","tea bag","No.sugar","chain store","Not.lunch"
"112",112,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"113",113,"Earl Grey","alone","tea bag","sugar","chain store+tea shop","Not.lunch"
"114",114,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"115",115,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"116",116,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"117",117,"Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"118",118,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"119",119,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"120",120,"Earl Grey","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"121",121,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"122",122,"Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"123",123,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"124",124,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"125",125,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"126",126,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"127",127,"black","other","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"128",128,"black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"129",129,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"130",130,"Earl Grey","milk","tea bag","No.sugar","chain store","Not.lunch"
"131",131,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"132",132,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"133",133,"Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"134",134,"black","lemon","tea bag","sugar","chain store","Not.lunch"
"135",135,"black","other","tea bag","No.sugar","chain store","Not.lunch"
"136",136,"Earl Grey","lemon","tea bag","sugar","chain store+tea shop","Not.lunch"
"137",137,"Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"138",138,"Earl Grey","alone","tea bag","No.sugar","chain store","lunch"
"139",139,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"140",140,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"141",141,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"142",142,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"143",143,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"144",144,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"145",145,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"146",146,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"147",147,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"148",148,"black","other","tea bag","sugar","chain store+tea shop","Not.lunch"
"149",149,"Earl Grey","lemon","tea bag","sugar","tea shop","Not.lunch"
"150",150,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"151",151,"black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"152",152,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"153",153,"black","alone","unpackaged","No.sugar","chain store","Not.lunch"
"154",154,"green","alone","tea bag","No.sugar","chain store","Not.lunch"
"155",155,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"156",156,"black","milk","tea bag","No.sugar","chain store","Not.lunch"
"157",157,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"158",158,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"159",159,"black","milk","unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"160",160,"black","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"161",161,"black","alone","unpackaged","sugar","chain store","Not.lunch"
"162",162,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"163",163,"green","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"164",164,"black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"165",165,"green","alone","unpackaged","No.sugar","chain store","Not.lunch"
"166",166,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"167",167,"green","alone","tea bag","No.sugar","chain store","Not.lunch"
"168",168,"black","lemon","unpackaged","No.sugar","tea shop","Not.lunch"
"169",169,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"170",170,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"171",171,"Earl Grey","alone","unpackaged","sugar","chain store+tea shop","Not.lunch"
"172",172,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"173",173,"black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"174",174,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"175",175,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"176",176,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"177",177,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"178",178,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"179",179,"Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"180",180,"green","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"181",181,"black","milk","tea bag","sugar","chain store","Not.lunch"
"182",182,"black","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"183",183,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"184",184,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"185",185,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"186",186,"green","alone","tea bag","No.sugar","chain store","Not.lunch"
"187",187,"green","alone","tea bag","sugar","chain store","Not.lunch"
"188",188,"green","alone","tea bag","sugar","chain store","Not.lunch"
"189",189,"green","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"190",190,"green","lemon","unpackaged","sugar","tea shop","Not.lunch"
"191",191,"Earl Grey","alone","tea bag+unpackaged","sugar","tea shop","Not.lunch"
"192",192,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store","lunch"
"193",193,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"194",194,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"195",195,"green","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"196",196,"black","alone","unpackaged","No.sugar","chain store","Not.lunch"
"197",197,"Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"198",198,"Earl Grey","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"199",199,"green","alone","tea bag","No.sugar","tea shop","Not.lunch"
"200",200,"green","alone","tea bag","sugar","chain store","Not.lunch"
"201",201,"Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"202",202,"black","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"203",203,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"204",204,"Earl Grey","other","tea bag","sugar","chain store","Not.lunch"
"205",205,"green","alone","tea bag","No.sugar","chain store","Not.lunch"
"206",206,"black","milk","unpackaged","No.sugar","chain store","Not.lunch"
"207",207,"black","lemon","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"208",208,"black","lemon","unpackaged","sugar","tea shop","Not.lunch"
"209",209,"green","alone","unpackaged","sugar","chain store","Not.lunch"
"210",210,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"211",211,"black","alone","unpackaged","sugar","tea shop","Not.lunch"
"212",212,"green","milk","tea bag","No.sugar","tea shop","Not.lunch"
"213",213,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"214",214,"Earl Grey","alone","tea bag","sugar","chain store+tea shop","Not.lunch"
"215",215,"Earl Grey","lemon","tea bag","No.sugar","chain store","lunch"
"216",216,"black","milk","tea bag","sugar","chain store","Not.lunch"
"217",217,"black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"218",218,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"219",219,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"220",220,"Earl Grey","lemon","unpackaged","No.sugar","tea shop","Not.lunch"
"221",221,"Earl Grey","lemon","tea bag+unpackaged","No.sugar","chain store","lunch"
"222",222,"green","alone","tea bag+unpackaged","No.sugar","tea shop","Not.lunch"
"223",223,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"224",224,"Earl Grey","lemon","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"225",225,"black","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"226",226,"green","alone","tea bag","No.sugar","chain store","Not.lunch"
"227",227,"green","alone","tea bag+unpackaged","No.sugar","tea shop","Not.lunch"
"228",228,"black","alone","tea bag","sugar","chain store","Not.lunch"
"229",229,"green","alone","unpackaged","No.sugar","tea shop","lunch"
"230",230,"Earl Grey","milk","tea bag","No.sugar","chain store","Not.lunch"
"231",231,"black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"232",232,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"233",233,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"234",234,"Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"235",235,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"236",236,"Earl Grey","alone","tea bag","No.sugar","chain store","lunch"
"237",237,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"238",238,"Earl Grey","alone","unpackaged","sugar","chain store+tea shop","Not.lunch"
"239",239,"Earl Grey","lemon","tea bag","No.sugar","chain store+tea shop","lunch"
"240",240,"Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"241",241,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"242",242,"Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"243",243,"green","milk","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"244",244,"Earl Grey","lemon","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"245",245,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"246",246,"Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"247",247,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"248",248,"Earl Grey","milk","unpackaged","sugar","tea shop","Not.lunch"
"249",249,"Earl Grey","alone","tea bag+unpackaged","sugar","tea shop","Not.lunch"
"250",250,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"251",251,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"252",252,"Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"253",253,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"254",254,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"255",255,"Earl Grey","alone","unpackaged","No.sugar","chain store","lunch"
"256",256,"black","milk","tea bag","No.sugar","chain store","Not.lunch"
"257",257,"black","alone","tea bag","sugar","chain store","Not.lunch"
"258",258,"green","milk","tea bag","sugar","chain store","lunch"
"259",259,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"260",260,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"261",261,"black","alone","unpackaged","sugar","tea shop","lunch"
"262",262,"green","alone","tea bag","sugar","chain store","Not.lunch"
"263",263,"black","milk","tea bag","No.sugar","chain store","Not.lunch"
"264",264,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"265",265,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"266",266,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store","lunch"
"267",267,"black","milk","tea bag+unpackaged","No.sugar","chain store","lunch"
"268",268,"Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"269",269,"black","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"270",270,"Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","lunch"
"271",271,"black","alone","unpackaged","sugar","chain store+tea shop","Not.lunch"
"272",272,"black","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"273",273,"Earl Grey","other","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"274",274,"Earl Grey","other","tea bag","sugar","chain store","Not.lunch"
"275",275,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"276",276,"Earl Grey","alone","tea bag","sugar","chain store","lunch"
"277",277,"black","alone","unpackaged","sugar","chain store+tea shop","Not.lunch"
"278",278,"black","alone","unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"279",279,"black","alone","tea bag+unpackaged","No.sugar","chain store","lunch"
"280",280,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"281",281,"Earl Grey","alone","tea bag","No.sugar","chain store","lunch"
"282",282,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"283",283,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"284",284,"black","lemon","tea bag","sugar","chain store","Not.lunch"
"285",285,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"286",286,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"287",287,"Earl Grey","milk","unpackaged","sugar","tea shop","Not.lunch"
"288",288,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"289",289,"Earl Grey","milk","tea bag","sugar","chain store+tea shop","lunch"
"290",290,"Earl Grey","milk","tea bag","No.sugar","chain store","Not.lunch"
"291",291,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"292",292,"Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"293",293,"Earl Grey","milk","tea bag","sugar","chain store","lunch"
"294",294,"Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"295",295,"Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","lunch"
"296",296,"green","milk","tea bag","No.sugar","chain store","Not.lunch"
"297",297,"green","milk","tea bag+unpackaged","No.sugar","tea shop","Not.lunch"
"298",298,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"299",299,"black","lemon","tea bag","sugar","tea shop","Not.lunch"
"300",300,"black","milk","tea bag","sugar","chain store","Not.lunch"
